ICD10,relationship,ICD9
A17.1,<9-10>,013.10
A17.81,<9-10>,013.20
A17.81,<9-10>,013.30
A17.81,<9-10>,013.40
A17.81,<9-10>,013.50
A17.82,<9-10>,013.60
A17.89,<9-10>,013.80
A18.31,<9-10>,014.00
A18.32,<9-10>,014.80
A18.01,<9-10>,015.00
A18.02,<9-10>,015.10
A18.02,<9-10>,015.20
A18.03,<9-10>,015.60
A18.03,<9-10>,015.70
A18.02,<9-10>,015.80
A18.02,<9-10>,015.90
A18.11,<9-10>,016.00
A18.12,<9-10>,016.10
A18.11,<9-10>,016.20
A18.13,<9-10>,016.30
A18.14,<9-10>,016.50
A18.17,<9-10>,016.60
A18.16,<9-10>,016.70
A18.10,<9-10>,016.90
A18.4,<9-10>,017.00
A18.4,<9-10>,017.10
A18.2,<9-10>,017.20
A18.50,<9-10>,017.30
A18.6,<9-10>,017.40
A18.81,<9-10>,017.50
A18.7,<9-10>,017.60
A18.85,<9-10>,017.70
A18.89,<9-10>,017.80
A18.84,<9-10>,017.90
A19.2,<9-10>,018.00
A19.8,<9-10>,018.80
A19.9,<9-10>,018.90
A20.0,<9-10>,020.0
A20.1,<9-10>,020.1
A20.7,<9-10>,020.2
A20.2,<9-10>,020.3
A20.2,<9-10>,020.4
A20.2,<9-10>,020.5
A20.8,<9-10>,020.8
A20.9,<9-10>,020.9
A21.0,<9-10>,021.0
A21.3,<9-10>,021.1
A21.2,<9-10>,021.2
A21.1,<9-10>,021.3
A21.7,<9-10>,021.8
A21.9,<9-10>,021.9
A22.0,<9-10>,022.0
A22.1,<9-10>,022.1
A22.2,<9-10>,022.2
A22.7,<9-10>,022.3
A22.8,<9-10>,022.8
A22.9,<9-10>,022.9
A23.0,<9-10>,023.0
A23.1,<9-10>,023.1
A23.2,<9-10>,023.2
A23.3,<9-10>,023.3
A23.8,<9-10>,023.8
A23.9,<9-10>,023.9
A24.0,<9-10>,024
A24.3,<9-10>,025
A25.0,<9-10>,026.0
A25.1,<9-10>,026.1
A25.9,<9-10>,026.9
A32.11,<9-10>,027.0
A26.7,<9-10>,027.1
A28.0,<9-10>,027.2
A28.8,<9-10>,027.8
A28.9,<9-10>,027.9
A30.5,<9-10>,030.0
A30.1,<9-10>,030.1
A30.0,<9-10>,030.2
A30.3,<9-10>,030.3
A30.8,<9-10>,030.8
A30.9,<9-10>,030.9
A31.0,<9-10>,031.0
A31.1,<9-10>,031.1
A31.2,<9-10>,031.2
A31.8,<9-10>,031.8
A31.9,<9-10>,031.9
A36.0,<9-10>,032.0
A36.1,<9-10>,032.1
A36.89,<9-10>,032.2
A36.2,<9-10>,032.3
A36.86,<9-10>,032.81
A36.81,<9-10>,032.82
A36.89,<9-10>,032.83
A36.85,<9-10>,032.84
A36.3,<9-10>,032.85
A36.82,<9-10>,032.89
A36.9,<9-10>,032.9
A37.00,<9-10>,033.0
A37.10,<9-10>,033.1
A37.80,<9-10>,033.8
A37.90,<9-10>,033.9
J02.0,<9-10>,034.0
A38.9,<9-10>,034.1
A46,<9-10>,035
A39.0,<9-10>,036.0
A39.81,<9-10>,036.1
A39.4,<9-10>,036.2
A39.1,<9-10>,036.3
A39.50,<9-10>,036.40
A39.53,<9-10>,036.41
A39.51,<9-10>,036.42
A39.52,<9-10>,036.43
A39.82,<9-10>,036.81
A39.83,<9-10>,036.82
A39.89,<9-10>,036.89
A39.9,<9-10>,036.9
A35,<9-10>,037
A40.9,<9-10>,038.0
A41.2,<9-10>,038.10
A41.01,<9-10>,038.11
A41.02,<9-10>,038.12
A41.1,<9-10>,038.19
A40.3,<9-10>,038.2
A41.4,<9-10>,038.3
A41.50,<9-10>,038.40
A41.3,<9-10>,038.41
A41.51,<9-10>,038.42
A41.52,<9-10>,038.43
A41.53,<9-10>,038.44
A41.59,<9-10>,038.49
A41.89,<9-10>,038.8
A41.9,<9-10>,038.9
L08.1,<9-10>,039.0
A42.0,<9-10>,039.1
A42.1,<9-10>,039.2
A42.2,<9-10>,039.3
B47.9,<9-10>,039.4
A42.81,<9-10>,039.8
A42.9,<9-10>,039.9
A48.0,<9-10>,040.0
A48.8,<9-10>,040.1
K90.81,<9-10>,040.2
A48.51,<9-10>,040.41
A48.52,<9-10>,040.42
M60.009,<9-10>,040.81
A48.3,<9-10>,040.82
A48.8,<9-10>,040.89
B95.5,<9-10>,041.00
B95.0,<9-10>,041.01
B95.1,<9-10>,041.02
B95.2,<9-10>,041.04
B95.4,<9-10>,041.09
B95.8,<9-10>,041.10
B95.61,<9-10>,041.11
B95.62,<9-10>,041.12
B95.7,<9-10>,041.19
B96.1,<9-10>,041.3
B96.21,<9-10>,041.41
B96.22,<9-10>,041.42
B96.23,<9-10>,041.43
B96.20,<9-10>,041.49
B96.3,<9-10>,041.5
B96.4,<9-10>,041.6
B96.5,<9-10>,041.7
A49.3,<9-10>,041.81
B96.6,<9-10>,041.82
B96.7,<9-10>,041.83
B96.81,<9-10>,041.86
B96.89,<9-10>,041.89
B20,<9-10>,042
A80.39,<9-10>,045.10
A80.4,<9-10>,045.20
A80.9,<9-10>,045.90
A81.81,<9-10>,046.0
A81.01,<9-10>,046.11
A81.00,<9-10>,046.19
A81.1,<9-10>,046.2
A81.2,<9-10>,046.3
A81.82,<9-10>,046.71
A81.83,<9-10>,046.72
A81.89,<9-10>,046.79
A81.89,<9-10>,046.8
A81.9,<9-10>,046.9
A87.0,<9-10>,047.0
A87.0,<9-10>,047.1
A87.8,<9-10>,047.8
A87.9,<9-10>,047.9
A88.0,<9-10>,048
A87.2,<9-10>,049.0
A87.1,<9-10>,049.1
A85.0,<9-10>,049.8
A86,<9-10>,049.9
B03,<9-10>,050.0
B03,<9-10>,050.1
B03,<9-10>,050.9
B08.010,<9-10>,051.01
B08.011,<9-10>,051.02
B08.03,<9-10>,051.1
B08.02,<9-10>,051.2
B08.04,<9-10>,051.9
B01.11,<9-10>,052.0
B01.2,<9-10>,052.1
B01.12,<9-10>,052.2
B01.0,<9-10>,052.7
B01.89,<9-10>,052.8
B01.9,<9-10>,052.9
B02.1,<9-10>,053.0
B02.29,<9-10>,053.10
B02.21,<9-10>,053.11
B02.22,<9-10>,053.12
B02.23,<9-10>,053.13
B02.24,<9-10>,053.14
B02.29,<9-10>,053.19
B02.39,<9-10>,053.20
B02.33,<9-10>,053.21
B02.32,<9-10>,053.22
B02.39,<9-10>,053.29
B02.8,<9-10>,053.71
B02.8,<9-10>,053.79
B02.8,<9-10>,053.8
B02.9,<9-10>,053.9
B00.0,<9-10>,054.0
A60.9,<9-10>,054.10
A60.04,<9-10>,054.11
A60.04,<9-10>,054.12
A60.01,<9-10>,054.13
A60.09,<9-10>,054.19
B00.2,<9-10>,054.2
B00.4,<9-10>,054.3
B00.50,<9-10>,054.40
B00.59,<9-10>,054.41
B00.52,<9-10>,054.42
B00.52,<9-10>,054.43
B00.51,<9-10>,054.44
B00.59,<9-10>,054.49
B00.7,<9-10>,054.5
B00.89,<9-10>,054.6
B00.81,<9-10>,054.71
B00.3,<9-10>,054.72
B00.1,<9-10>,054.73
B00.82,<9-10>,054.74
B00.89,<9-10>,054.79
B00.9,<9-10>,054.8
B00.9,<9-10>,054.9
B05.0,<9-10>,055.0
B05.2,<9-10>,055.1
B05.3,<9-10>,055.2
B05.81,<9-10>,055.71
B05.1,<9-10>,055.79
B05.9,<9-10>,055.9
B06.00,<9-10>,056.00
B06.01,<9-10>,056.01
B06.09,<9-10>,056.09
B06.82,<9-10>,056.71
B06.81,<9-10>,056.79
B06.9,<9-10>,056.9
B08.3,<9-10>,057.0
B09,<9-10>,057.8
B09,<9-10>,057.9
B08.20,<9-10>,058.10
B08.21,<9-10>,058.11
B08.22,<9-10>,058.12
B10.01,<9-10>,058.21
B10.09,<9-10>,058.29
B10.81,<9-10>,058.81
B10.82,<9-10>,058.82
B10.89,<9-10>,058.89
B08.09,<9-10>,059.00
B04,<9-10>,059.01
B08.09,<9-10>,059.09
B08.60,<9-10>,059.10
B08.61,<9-10>,059.11
B08.62,<9-10>,059.12
B08.69,<9-10>,059.19
B08.70,<9-10>,059.20
B08.71,<9-10>,059.21
B08.72,<9-10>,059.22
B08.8,<9-10>,059.8
A95.0,<9-10>,060.0
A95.1,<9-10>,060.1
A95.9,<9-10>,060.9
A90,<9-10>,061
A83.0,<9-10>,062.0
A83.1,<9-10>,062.1
A83.2,<9-10>,062.2
A83.3,<9-10>,062.3
A83.4,<9-10>,062.4
A83.5,<9-10>,062.5
A83.8,<9-10>,062.8
A83.9,<9-10>,062.9
A84.0,<9-10>,063.0
A84.8,<9-10>,063.1
A84.1,<9-10>,063.2
A84.8,<9-10>,063.8
A84.9,<9-10>,063.9
A85.2,<9-10>,064
A98.0,<9-10>,065.0
A98.1,<9-10>,065.1
A98.2,<9-10>,065.2
A98.8,<9-10>,065.3
A91,<9-10>,065.4
A99,<9-10>,065.9
A93.1,<9-10>,066.0
A93.2,<9-10>,066.1
A92.2,<9-10>,066.2
A92.0,<9-10>,066.3
A92.30,<9-10>,066.40
A92.31,<9-10>,066.41
A92.32,<9-10>,066.42
A92.39,<9-10>,066.49
A93.8,<9-10>,066.8
A94,<9-10>,066.9
B15.0,<9-10>,070.0
B15.9,<9-10>,070.1
B16.2,<9-10>,070.20
B16.0,<9-10>,070.21
B16.9,<9-10>,070.30
B16.1,<9-10>,070.31
B18.1,<9-10>,070.32
B18.0,<9-10>,070.33
B17.11,<9-10>,070.41
B17.8,<9-10>,070.49
B17.10,<9-10>,070.51
B17.0,<9-10>,070.52
B17.2,<9-10>,070.53
B18.2,<9-10>,070.54
B17.8,<9-10>,070.59
B19.0,<9-10>,070.6
B19.20,<9-10>,070.70
B19.21,<9-10>,070.71
B19.9,<9-10>,070.9
A82.9,<9-10>,071
B26.0,<9-10>,072.0
B26.1,<9-10>,072.1
B26.2,<9-10>,072.2
B26.3,<9-10>,072.3
B26.81,<9-10>,072.71
B26.84,<9-10>,072.72
B26.82,<9-10>,072.79
B26.9,<9-10>,072.9
A70,<9-10>,073.9
B08.5,<9-10>,074.0
B33.0,<9-10>,074.1
B33.20,<9-10>,074.20
B33.23,<9-10>,074.21
B33.21,<9-10>,074.22
B33.22,<9-10>,074.23
B08.4,<9-10>,074.3
B34.1,<9-10>,074.8
B27.90,<9-10>,075
A71.0,<9-10>,076.0
A71.1,<9-10>,076.1
A71.9,<9-10>,076.9
A74.0,<9-10>,077.0
B30.0,<9-10>,077.1
B30.2,<9-10>,077.2
B30.1,<9-10>,077.3
B30.3,<9-10>,077.4
B30.8,<9-10>,077.8
A74.0,<9-10>,077.98
B30.9,<9-10>,077.99
B08.1,<9-10>,078.0
B07.9,<9-10>,078.10
A63.0,<9-10>,078.11
B07.0,<9-10>,078.12
B07.8,<9-10>,078.19
B33.8,<9-10>,078.2
A28.1,<9-10>,078.3
B08.8,<9-10>,078.4
B25.9,<9-10>,078.5
A98.5,<9-10>,078.6
A96.0,<9-10>,078.7
A88.1,<9-10>,078.81
R11.11,<9-10>,078.82
A74.89,<9-10>,078.88
A98.3,<9-10>,078.89
B97.0,<9-10>,079.0
B97.12,<9-10>,079.1
B97.11,<9-10>,079.2
B97.7,<9-10>,079.4
B97.30,<9-10>,079.50
B97.33,<9-10>,079.51
B97.34,<9-10>,079.52
B97.35,<9-10>,079.53
B33.3,<9-10>,079.59
B97.4,<9-10>,079.6
B33.4,<9-10>,079.81
B97.21,<9-10>,079.82
B34.3,<9-10>,079.83
B33.8,<9-10>,079.89
A74.9,<9-10>,079.98
B97.89,<9-10>,079.99
A75.0,<9-10>,080
A75.2,<9-10>,081.0
A75.1,<9-10>,081.1
A75.3,<9-10>,081.2
A75.9,<9-10>,081.9
A77.0,<9-10>,082.0
A77.1,<9-10>,082.1
A77.2,<9-10>,082.2
A77.3,<9-10>,082.3
A77.40,<9-10>,082.40
A77.41,<9-10>,082.41
A77.49,<9-10>,082.49
A77.8,<9-10>,082.8
A78,<9-10>,083.0
A79.0,<9-10>,083.1
A79.1,<9-10>,083.2
A79.81,<9-10>,083.8
A79.9,<9-10>,083.9
B50.9,<9-10>,084.0
B51.9,<9-10>,084.1
B52.9,<9-10>,084.2
B53.0,<9-10>,084.3
B53.1,<9-10>,084.4
B51.9,<9-10>,084.5
B54,<9-10>,084.6
B50.8,<9-10>,084.8
B50.0,<9-10>,084.9
B55.0,<9-10>,085.0
B55.1,<9-10>,085.1
B55.1,<9-10>,085.2
B55.1,<9-10>,085.3
B55.1,<9-10>,085.4
B55.2,<9-10>,085.5
B55.9,<9-10>,085.9
B57.0,<9-10>,086.0
B57.5,<9-10>,086.1
B57.1,<9-10>,086.2
B56.0,<9-10>,086.3
B56.1,<9-10>,086.4
B56.9,<9-10>,086.5
B56.9,<9-10>,086.9
A68.0,<9-10>,087.0
A68.1,<9-10>,087.1
A68.9,<9-10>,087.9
A44.9,<9-10>,088.0
A69.20,<9-10>,088.81
B60.0,<9-10>,088.82
B64,<9-10>,088.9
A50.09,<9-10>,090.0
A50.1,<9-10>,090.1
A50.2,<9-10>,090.2
A50.31,<9-10>,090.3
A50.40,<9-10>,090.40
A50.42,<9-10>,090.41
A50.41,<9-10>,090.42
A50.49,<9-10>,090.49
A50.52,<9-10>,090.5
A50.6,<9-10>,090.6
A50.7,<9-10>,090.7
A50.9,<9-10>,090.9
A51.0,<9-10>,091.0
A51.1,<9-10>,091.1
A51.2,<9-10>,091.2
A51.31,<9-10>,091.3
A51.49,<9-10>,091.4
A51.43,<9-10>,091.50
A51.43,<9-10>,091.51
A51.43,<9-10>,091.52
A51.46,<9-10>,091.61
A51.45,<9-10>,091.62
A51.49,<9-10>,091.69
A51.49,<9-10>,091.7
A51.41,<9-10>,091.81
A51.32,<9-10>,091.82
A51.49,<9-10>,091.89
A51.5,<9-10>,092.0
A51.5,<9-10>,092.9
A52.01,<9-10>,093.0
A52.02,<9-10>,093.1
A52.03,<9-10>,093.20
A52.03,<9-10>,093.21
A52.03,<9-10>,093.22
A52.03,<9-10>,093.23
A52.03,<9-10>,093.24
A52.06,<9-10>,093.81
A52.06,<9-10>,093.82
A52.09,<9-10>,093.89
A52.00,<9-10>,093.9
A52.11,<9-10>,094.0
A52.17,<9-10>,094.1
A52.13,<9-10>,094.2
A52.2,<9-10>,094.3
A52.14,<9-10>,094.81
A52.19,<9-10>,094.82
A52.19,<9-10>,094.83
A52.15,<9-10>,094.84
A52.15,<9-10>,094.85
A52.15,<9-10>,094.86
A52.19,<9-10>,094.89
A52.3,<9-10>,094.9
A52.71,<9-10>,095.0
A52.72,<9-10>,095.1
A52.74,<9-10>,095.2
A52.74,<9-10>,095.3
A52.75,<9-10>,095.4
A52.77,<9-10>,095.5
A52.78,<9-10>,095.6
A52.78,<9-10>,095.7
A52.73,<9-10>,095.8
A52.79,<9-10>,095.9
A52.8,<9-10>,096
A52.9,<9-10>,097.0
A53.0,<9-10>,097.1
A53.9,<9-10>,097.9
A54.00,<9-10>,098.0
A54.01,<9-10>,098.11
A54.22,<9-10>,098.12
A54.23,<9-10>,098.13
A54.23,<9-10>,098.14
A54.03,<9-10>,098.15
A54.24,<9-10>,098.16
A54.21,<9-10>,098.19
A54.00,<9-10>,098.2
A54.01,<9-10>,098.31
A54.22,<9-10>,098.32
A54.23,<9-10>,098.33
A54.23,<9-10>,098.34
A54.03,<9-10>,098.35
A54.24,<9-10>,098.36
A54.31,<9-10>,098.40
A54.32,<9-10>,098.41
A54.39,<9-10>,098.42
A54.33,<9-10>,098.43
A54.39,<9-10>,098.49
A54.42,<9-10>,098.50
A54.49,<9-10>,098.51
A54.49,<9-10>,098.52
A54.41,<9-10>,098.53
A54.40,<9-10>,098.59
A54.5,<9-10>,098.6
A54.6,<9-10>,098.7
A54.89,<9-10>,098.81
A54.81,<9-10>,098.82
A54.83,<9-10>,098.83
A54.83,<9-10>,098.84
A54.83,<9-10>,098.85
A54.85,<9-10>,098.86
A54.86,<9-10>,098.89
A57,<9-10>,099.0
A55,<9-10>,099.1
A58,<9-10>,099.2
M02.30,<9-10>,099.3
N34.1,<9-10>,099.40
A56.4,<9-10>,099.51
A56.3,<9-10>,099.52
A56.00,<9-10>,099.53
A56.19,<9-10>,099.54
A56.2,<9-10>,099.55
A56.8,<9-10>,099.59
A63.8,<9-10>,099.8
A64,<9-10>,099.9
A27.0,<9-10>,100.0
A27.81,<9-10>,100.81
A27.89,<9-10>,100.89
A27.9,<9-10>,100.9
A69.0,<9-10>,101
A66.0,<9-10>,102.0
A66.1,<9-10>,102.1
A66.2,<9-10>,102.2
A66.3,<9-10>,102.3
A66.4,<9-10>,102.4
A66.5,<9-10>,102.5
A66.6,<9-10>,102.6
A66.7,<9-10>,102.7
A66.8,<9-10>,102.8
A66.9,<9-10>,102.9
A67.0,<9-10>,103.0
A67.1,<9-10>,103.1
A67.2,<9-10>,103.2
A67.3,<9-10>,103.3
A67.9,<9-10>,103.9
A65,<9-10>,104.0
A69.8,<9-10>,104.8
A69.9,<9-10>,104.9
B35.0,<9-10>,110.0
B35.1,<9-10>,110.1
B35.2,<9-10>,110.2
B35.6,<9-10>,110.3
B35.3,<9-10>,110.4
B35.5,<9-10>,110.5
B35.8,<9-10>,110.6
B35.8,<9-10>,110.8
B35.9,<9-10>,110.9
B36.0,<9-10>,111.0
B36.1,<9-10>,111.1
B36.2,<9-10>,111.2
B36.3,<9-10>,111.3
B36.8,<9-10>,111.8
B36.9,<9-10>,111.9
B37.0,<9-10>,112.0
B37.3,<9-10>,112.1
B37.42,<9-10>,112.2
B37.2,<9-10>,112.3
B37.1,<9-10>,112.4
B37.7,<9-10>,112.5
B37.6,<9-10>,112.81
B37.84,<9-10>,112.82
B37.5,<9-10>,112.83
B37.81,<9-10>,112.84
B37.82,<9-10>,112.85
B37.89,<9-10>,112.89
B37.9,<9-10>,112.9
B38.0,<9-10>,114.0
B38.3,<9-10>,114.1
B38.4,<9-10>,114.2
B38.89,<9-10>,114.3
B38.1,<9-10>,114.4
B38.2,<9-10>,114.5
B38.9,<9-10>,114.9
B39.4,<9-10>,115.00
B39.2,<9-10>,115.05
B39.3,<9-10>,115.09
B39.5,<9-10>,115.10
B39.9,<9-10>,115.90
B40.9,<9-10>,116.0
B41.0,<9-10>,116.1
B48.0,<9-10>,116.2
B48.1,<9-10>,117.0
B42.0,<9-10>,117.1
B43.9,<9-10>,117.2
B44.9,<9-10>,117.3
B47.0,<9-10>,117.4
B45.0,<9-10>,117.5
B48.2,<9-10>,117.6
B46.9,<9-10>,117.7
B48.8,<9-10>,117.8
B49,<9-10>,117.9
B48.8,<9-10>,118
B65.0,<9-10>,120.0
B65.1,<9-10>,120.1
B65.2,<9-10>,120.2
B65.3,<9-10>,120.3
B65.8,<9-10>,120.8
B65.9,<9-10>,120.9
B66.0,<9-10>,121.0
B66.1,<9-10>,121.1
B66.4,<9-10>,121.2
B66.3,<9-10>,121.3
B66.5,<9-10>,121.4
B66.8,<9-10>,121.5
B66.8,<9-10>,121.6
B66.2,<9-10>,121.8
B66.9,<9-10>,121.9
B67.0,<9-10>,122.0
B67.1,<9-10>,122.1
B67.31,<9-10>,122.2
B67.39,<9-10>,122.3
B67.4,<9-10>,122.4
B67.5,<9-10>,122.5
B67.69,<9-10>,122.6
B67.7,<9-10>,122.7
B67.8,<9-10>,122.8
B67.90,<9-10>,122.9
B68.0,<9-10>,123.0
B69.9,<9-10>,123.1
B68.1,<9-10>,123.2
B68.9,<9-10>,123.3
B70.0,<9-10>,123.4
B70.1,<9-10>,123.5
B71.0,<9-10>,123.6
B71.1,<9-10>,123.8
B71.9,<9-10>,123.9
B75,<9-10>,124
B74.0,<9-10>,125.0
B74.1,<9-10>,125.1
B74.3,<9-10>,125.2
B73.1,<9-10>,125.3
B74.4,<9-10>,125.5
B74.8,<9-10>,125.6
B72,<9-10>,125.7
B74.9,<9-10>,125.9
B76.0,<9-10>,126.0
B76.1,<9-10>,126.1
B76.0,<9-10>,126.2
B76.0,<9-10>,126.3
B76.0,<9-10>,126.8
B76.8,<9-10>,126.9
B77.81,<9-10>,127.0
B81.0,<9-10>,127.1
B78.9,<9-10>,127.2
B79,<9-10>,127.3
B80,<9-10>,127.4
B81.1,<9-10>,127.5
B81.2,<9-10>,127.6
B81.8,<9-10>,127.7
B81.4,<9-10>,127.8
B82.0,<9-10>,127.9
B83.0,<9-10>,128.0
B83.1,<9-10>,128.1
B83.2,<9-10>,128.8
B83.9,<9-10>,128.9
B82.9,<9-10>,129
B58.2,<9-10>,130.0
B58.09,<9-10>,130.1
B58.01,<9-10>,130.2
B58.81,<9-10>,130.3
B58.3,<9-10>,130.4
B58.1,<9-10>,130.5
B58.89,<9-10>,130.7
B58.9,<9-10>,130.9
A59.00,<9-10>,131.00
A59.01,<9-10>,131.01
A59.03,<9-10>,131.02
A59.02,<9-10>,131.03
A59.09,<9-10>,131.09
A59.8,<9-10>,131.8
A59.9,<9-10>,131.9
B85.0,<9-10>,132.0
B85.1,<9-10>,132.1
B85.3,<9-10>,132.2
B85.4,<9-10>,132.3
B85.2,<9-10>,132.9
B86,<9-10>,133.0
B88.0,<9-10>,133.8
B87.9,<9-10>,134.0
B88.2,<9-10>,134.1
B83.4,<9-10>,134.2
B88.8,<9-10>,134.8
B88.9,<9-10>,134.9
D86.9,<9-10>,135
L94.6,<9-10>,136.0
M35.2,<9-10>,136.1
B60.11,<9-10>,136.21
B60.19,<9-10>,136.29
B59,<9-10>,136.3
A07.8,<9-10>,136.5
B60.8,<9-10>,136.8
B89,<9-10>,136.9
B90.9,<9-10>,137.0
B90.0,<9-10>,137.1
B90.1,<9-10>,137.2
B90.2,<9-10>,137.3
B90.8,<9-10>,137.4
B91,<9-10>,138
B94.1,<9-10>,139.0
B94.0,<9-10>,139.1
B94.8,<9-10>,139.8
C00.0,<9-10>,140.0
C00.1,<9-10>,140.1
C00.3,<9-10>,140.3
C00.4,<9-10>,140.4
C00.5,<9-10>,140.5
C00.6,<9-10>,140.6
C00.8,<9-10>,140.8
C00.2,<9-10>,140.9
C01,<9-10>,141.0
C02.0,<9-10>,141.1
C02.1,<9-10>,141.2
C02.2,<9-10>,141.3
C02.3,<9-10>,141.4
C02.4,<9-10>,141.6
C02.8,<9-10>,141.8
C02.9,<9-10>,141.9
C07,<9-10>,142.0
C08.0,<9-10>,142.1
C08.1,<9-10>,142.2
C08.9,<9-10>,142.8
C08.9,<9-10>,142.9
C03.0,<9-10>,143.0
C03.1,<9-10>,143.1
C03.9,<9-10>,143.8
C03.9,<9-10>,143.9
C04.0,<9-10>,144.0
C04.1,<9-10>,144.1
C04.8,<9-10>,144.8
C04.9,<9-10>,144.9
C06.0,<9-10>,145.0
C06.1,<9-10>,145.1
C05.0,<9-10>,145.2
C05.1,<9-10>,145.3
C05.2,<9-10>,145.4
C05.9,<9-10>,145.5
C06.2,<9-10>,145.6
C06.89,<9-10>,145.8
C06.9,<9-10>,145.9
C09.9,<9-10>,146.0
C09.0,<9-10>,146.1
C09.1,<9-10>,146.2
C10.0,<9-10>,146.3
C10.1,<9-10>,146.4
C10.2,<9-10>,146.6
C10.3,<9-10>,146.7
C10.4,<9-10>,146.8
C10.9,<9-10>,146.9
C11.0,<9-10>,147.0
C11.1,<9-10>,147.1
C11.2,<9-10>,147.2
C11.3,<9-10>,147.3
C11.8,<9-10>,147.8
C11.9,<9-10>,147.9
C13.0,<9-10>,148.0
C12,<9-10>,148.1
C13.1,<9-10>,148.2
C13.2,<9-10>,148.3
C13.8,<9-10>,148.8
C13.9,<9-10>,148.9
C14.0,<9-10>,149.0
C14.2,<9-10>,149.1
C14.8,<9-10>,149.8
C14.8,<9-10>,149.9
C15.3,<9-10>,150.0
C15.4,<9-10>,150.1
C15.5,<9-10>,150.2
C15.3,<9-10>,150.3
C15.4,<9-10>,150.4
C15.5,<9-10>,150.5
C15.8,<9-10>,150.8
C15.9,<9-10>,150.9
C16.0,<9-10>,151.0
C16.4,<9-10>,151.1
C16.3,<9-10>,151.2
C16.1,<9-10>,151.3
C16.2,<9-10>,151.4
C16.5,<9-10>,151.5
C16.6,<9-10>,151.6
C16.8,<9-10>,151.8
C16.9,<9-10>,151.9
C17.0,<9-10>,152.0
C17.1,<9-10>,152.1
C17.2,<9-10>,152.2
C17.3,<9-10>,152.3
C17.8,<9-10>,152.8
C17.9,<9-10>,152.9
C18.3,<9-10>,153.0
C18.4,<9-10>,153.1
C18.6,<9-10>,153.2
C18.7,<9-10>,153.3
C18.0,<9-10>,153.4
C18.1,<9-10>,153.5
C18.2,<9-10>,153.6
C18.5,<9-10>,153.7
C18.8,<9-10>,153.8
C18.9,<9-10>,153.9
C19,<9-10>,154.0
C20,<9-10>,154.1
C21.1,<9-10>,154.2
C21.0,<9-10>,154.3
C21.8,<9-10>,154.8
C22.0,<9-10>,155.0
C22.1,<9-10>,155.1
C22.9,<9-10>,155.2
C23,<9-10>,156.0
C24.0,<9-10>,156.1
C24.1,<9-10>,156.2
C24.8,<9-10>,156.8
C24.9,<9-10>,156.9
C25.0,<9-10>,157.0
C25.1,<9-10>,157.1
C25.2,<9-10>,157.2
C25.3,<9-10>,157.3
C25.4,<9-10>,157.4
C25.7,<9-10>,157.8
C25.9,<9-10>,157.9
C48.0,<9-10>,158.0
C48.1,<9-10>,158.8
C48.2,<9-10>,158.9
C26.0,<9-10>,159.0
C26.1,<9-10>,159.1
C26.9,<9-10>,159.8
