index,condition_concept_id
A41.59,45566504
T82.818A,45565843
A41.9,35205553
A40.9,45595585
N76.0,45543891
Z97.5,45610007
N92.0,45577544
I73.00,45581814
O70.0,45577658
O48.0,45592270
O25.2,45548718
Z22.330,45576141
O72.1,35210340
D68.2,45537925
O99.111,45592311
Z39.2,45547306
R76.0,45563322
Z31.5,45590715
Z31.438,45561622
Z31.430,45571340
J06.9,45562437
H10.33,45538199
Z79.899,45537679
M79.671,45562840
R73.09,45592429
R33.9,45587508
Z80.0,45542462
K70.30,45605952
K76.6,45591608
K70.31,45538545
R16.1,45539322
C18.9,45561790
D36.9,45581308
E66.01,45600659
F10.21,45581405
N62,45577538
I85.10,45576934
D12.5,45552326
K86.2,45591612
D13.2,45542682
I86.8,45533528
K31.7,45601165
K29.80,45543300
I83.90,45543241
K56.7,45567314
Z68.30,45566451
D69.59,45576412
G93.1,45538146
R74.0,35211421
T71.111A,45575503
T42.4X1A,45575264
T40.2X1A,45546347
A40.8,45561701
I07.1,45601020
I65.23,45601049
M47.812,45577269
G00.2,45605526
Q21.1,45534366
I65.01,45586598
R65.20,45548977
E83.42,45542778
G93.40,45571836
I67.2,45552811
Z78.1,45581073
Z95.0,45571406
M41.9,45591832
B95.4,45556956
M17.0,45562648
S20.219A,45582909
H52.03,45547933
H25.019,45567013
H52.209,45562273
H52.4,45605710
H25.10,45557377
Z87.828,45571400
Z17.0,45576138
Z79.811,45566461
Z92.21,45590773
Z65.8,45595536
M17.12,45538681
L43.8,45577038
K04.7,45586692
M71.20,45557975
S01.511A,45597246
K13.22,45533580
K13.79,45581885
M17.10,45567469
M71.22,45567641
Z91.19,45585879
I70.0,45596230
I77.810,45605844
I71.2,35207845
S43.409A,45554354
N52.9,45548672
S63.509A,45588680
S13.4XXA,45563494
T78.1XXA,45590034
R22.0,45548955
Z53.29,45571366
J34.0,45543263
Z13.21,45561612
R03.0,45553712
J01.90,45538470
S89.80XA,45555507
I71.9,35207851
K57.30,45586725
F31.9,35207149
B35.5,45585957
L81.9,45543384
B35.3,45581158
N48.5,45539052
T87.40,45565902
Z89.519,45605170
N48.30,45592142
H04.129,45542948
H01.009,45538155
H52.13,45538312
Z13.9,45585804
R10.10,45577781
S83.289A,45584398
M25.572,45582116
M21.6X2,45582088
Z98.1,45566482
M19.272,45591746
C25.0,45590881
I69.998,45562384
M21.172,45567491
H54.42,45581709
M13.872,45553090
T84.89XA,45594953
H57.8,45552725
Z83.511,45576189
H31.093,45576715
H18.413,45542989
H18.419,45542990
H40.009,45600916
G62.9,45566898
R20.2,35211306
M95.4,45567811
Z76.89,45581072
R29.818,45568125
M54.08,45601480
Z59.0,45561640
G93.89,45591204
B85.1,45561768
L71.0,45601229
R53.1,45602032
G45.9,35207399
C61,45547509
Z92.29,45605175
Z85.46,45600358
R93.6,45577827
R97.2,45597214
R23.2,45568123
K40.90,45533588
Z86.19,45609983
G57.90,45542898
R94.8,45568159
K76.1,45601190
K63.4,45567319
Z48.814,45537648
R93.0,45563333
R59.9,45563319
M62.838,45567611
R10.32,45553715
G60.9,45562101
R39.11,45582703
R19.5,35211301
K64.9,1569665
J31.0,45572165
S83.419A,45574745
M41.20,45572451
M51.9,35208954
Z96.7,45585888
S12.120D,45549120
S12.101A,45563466
Z79.02,45561654
S01.01XA,45573067
S70.312A,45564574
S12.200A,45587666
S70.311A,45559713
S12.100A,45553896
S00.81XA,45539393
S00.31XA,45602051
S12.110D,45597338
K60.5,45543328
F20.9,45576533
F12.90,45547678
K50.90,45601176
K61.0,45601183
K60.3,45576995
L03.317,45581928
B96.82,45595630
K50.813,45601174
K61.1,45591601
K50.913,45543316
K50.914,45562491
K64.4,1569662
E55.9,45586161
K62.89,45572222
K63.89,45591603
K50.10,45576986
F51.5,45547714
K63.2,45567318
Z01.812,45585797
F12.10,45538011
L90.5,45543397
K50.113,45548159
K64.5,45567321
K08.409,45596301
Z48.00,45585833
Z87.19,45547360
D12.2,45600580
K60.4,45596338
Z48.01,45605132
K50.918,45576988
K61.2,45581906
L02.91,45557690
K62.6,45591602
N64.4,45539060
C44.612,45576313
L71.9,45548204
L98.499,45572304
Z01.419,45585795
N93.9,45592158
S39.93XA,45539804
S29.9XXA,45587817
F22,45581450
M25.561,45596549
M25.422,45548394
S99.911A,45608745
S39.91XA,45534939
M84.429S,45538898
M20.10,45538700
I71.4,35207847
I50.23,45567180
I25.5,35207704
I25.82,45596199
D63.1,45557089
I42.8,45533451
E06.3,45557105
E03.8,45557102
D51.0,45600603
Z12.5,45542404
R73.9,35211420
Z68.1,45571382
I35.0,35207733
I24.8,35207700
R29.6,45587504
T79.6XXA,45585211
N30.00,45572703
R78.81,45587526
K92.2,35208414
R64,45568145
B96.4,45576291
D63.8,35206750
D64.89,45586119
N39.498,45592135
H16.009,45605618
K57.20,45552937
K75.0,45562508
M12.519,45572363
K57.80,45586726
K65.1,45538543
Z80.7,35225310
Z87.898,45566470
G47.30,45562095
T84.81XA,45546745
M75.02,45572540
M25.512,45591808
R29.898,45573021
M75.01,45543683
M75.00,45543682
R06.82,45539314
R07.81,45587497
J44.1,45601132
Z99.81,45600392
T38.0X5A,45580068
J15.212,45557620
J96.21,45543283
T20.24XA,45550932
J96.11,45538489
T20.29XA,45550935
R45.851,45582713
J09.X2,45562440
J44.0,45601131
F06.4,45571704
F03.91,45595843
F91.9,45533125
J96.01,45567283
J12.9,45552880
T20.20XD,45570163
R68.84,45577808
S02.65XB,45568209
F14.10,45600707
M75.102,45533932
M75.52,45533935
M25.562,45533816
N40.1,45601728
R10.30,45563290
R04.0,45606791
S83.8X9A,45603753
H66.019,45557494
H90.0,45605765
M23.90,35208805
M62.89,42618110
G40.309,45571798
G93.49,45566910
M80.00XK,45553273
I25.119,45596197
I25.110,45601024
I49.3,45538386
I45.10,45557544
F02.80,45591076
G30.9,35207359
M48.00,45601461
R00.1,45539313
J15.9,35207948
R79.89,45558483
F02.81,45595842
I25.9,35207706
K21.0,45543296
G20,35207329
M81.8,35209040
M48.50XA,45567569
M84.40XA,45538896
G25.3,45547729
M84.40XS,45577389
L08.0,45572260
I36.0,45586579
B89,45600469
R53.82,45573032
Z95.2,45542495
G25.81,45586281
Z86.74,45556867
Z13.820,45576135
H61.23,45591403
I44.2,45576872
R10.31,45582694
Q80.3,45587484
D56.4,35206721
R14.0,45582697
L85.3,45577054
Q68.8,45553694
Z12.39,45566396
R94.5,45577830
T84.119A,45604563
G50.0,45581502
G31.89,45600775
H93.8X1,45591449
N95.1,45548683
Z78.0,45585857
K92.1,35208413
Z90.710,45537697
M85.89,42619424
M85.80,45582318
Z68.37,45581058
E83.52,45571694
R68.81,45577806
N90.7,45539071
N90.89,45553463
K22.2,45552917
R51,45558474
R41.89,45553737
F34.1,35207163
L50.9,45562541
R94.6,45563335
E61.1,45595821
E04.1,45537947
E41,45533033
Z68.20,45590749
F29,35207141
Z91.410,45605172
K08.9,45572193
I82.812,45567241
Q27.8,45606733
I83.92,45533523
F18.10,45566811
F14.20,45566799
F19.99,45547693
F25.9,45605490
F60.2,45586248
F10.120,45538005
S19.9XXA,45563514
S00.83XA,45553777
R45.850,45592419
F15.10,45571730
R44.0,45568133
F28,35207140
S02.2XXA,45558549
H54.7,45586517
H20.00,45552630
F19.10,45533088
F15.20,45595876
F43.20,45576546
S05.90XA,45573115
R45.6,35211366
F19.939,45566827
Z01.411,45552055
C91.10,45571568
R13.12,45534431
R47.01,45563310
R48.1,45597188
H53.469,45572015
G81.90,45542906
I77.74,45586629
I67.1,45538401
H53.16,45547940
I61.9,35207816
D70.1,45537931
I62.9,35207818
Z51.12,45576161
M25.511,45591807
M19.011,45591743
C91.11,45561871
C91.12,45581253
R53.83,45534458
H53.413,45600963
C95.90,45590968
R22.2,45602014
M79.621,45562839
R18.8,45587499
C22.9,45537795
C22.0,45552247
M87.00,45596784
S42.009P,45563799
S02.91XK,45563378
T84.029A,45594932
T84.039A,45590090
M84.369S,45543726
Z96.669,45542501
Z94.6,45542494
K74.69,45581912
D75.1,35206790
S82.001D,45574545
J43.9,45567264
K65.2,45543331
R16.0,45534432
K72.91,45572226
R78.89,45568152
M87.08,45558080
M12.579,45596480
M21.549,45567494
I38,45543172
S33.9XXA,45534866
R89.9,35211510
C34.31,45581205
R91.1,45534479
I49.01,45562353
J18.9,35207956
F10.27,45566776
F10.239,45533065
I46.9,45591466
F05,45581397
I95.2,45543247
Z98.61,45585890
Z95.810,45576217
Z68.21,45609960
C34.90,45590885
I44.7,45586583
R29.810,45582700
R41.4,45539343
J91.0,45543278
R30.1,45602017
Z87.39,45561662
R13.0,45577784
E46,45595817
I21.3,35207684
R53.81,45582718
E10.9,45581351
Z48.812,45537647
M16.11,45586889
D37.1,45591003
M18.9,35208780
R87.615,45592439
F31.70,45566840
R32,45606803
E89.89,45547669
C73,45590920
E03.4,45542724
E89.0,45552421
Z01.89,45595479
G40.201,45533135
G40.911,45542885
L65.9,45605989
G40.209,45576573
G93.81,45538148
K60.2,45538540
N72,45543889
C50.419,45600507
C77.3,45571538
Z79.810,45581075
C50.411,45537821
N60.31,45543883
M24.519,45601406
R92.8,45558492
N60.81,45587252
I97.2,45543249
N64.51,45582416
K82.8,45586739
G71.11,45581513
G71.19,45552545
R94.2,45592443
L72.3,45552995
G70.9,45581512
I42.4,45543175
G71.0,45557253
Z86.69,45605163
E74.39,45537983
N92.5,45539074
Z30.011,45605116
R06.2,45548946
L29.8,45601220
F09,45562001
F14.90,45557174
M54.40,45567580
Z68.38,45609961
I11.0,35207669
Z03.89,45576127
F15.21,45542809
Z48.298,45547318
Z94.4,45566478
K83.5,45577004
K71.6,45543336
K76.0,45601189
T86.40,45561100
J98.11,45591566
Z85.118,45571395
T42.4X5A,45599463
R27.0,45539329
S06.5X0A,45606927
Z90.2,45537696
E44.0,45571675
D18.1,45590982
G62.89,45552543
S91.105S,45608616
K59.01,45557664
L85.0,45572282
I73.9,45552846
Z56.0,45566440
S06.9X9A,45592548
H53.459,45543085
R69,45558480
Z72.89,45581065
Z91.14,45609994
Z59.9,45566445
M25.521,45601423
M79.605,45582247
G46.7,45600792
B96.1,45561775
B95.5,45581193
S59.809A,45578713
T07,45604013
S33.5XXA,45587899
B15.9,45566537
D61.818,45595770
B20,2789563
B16.9,45590845
S03.9XXS,45597267
S73.199A,45603482
S73.109A,45588950
T14.90,45599173
S00.93XA,45558519
T84.028D,45556273
E86.1,45581387
M48.07,45572462
M51.37,45572468
R22.30,45544135
Z79.51,45576186
K51.90,45567310
R25.2,45592414
M12.811,45601341
M12.812,45577150
M19.012,45567472
M75.121,45533933
T84.296A,45599799
M48.16,45538776
K56.0,45572216
R39.12,45539332
M17.11,45577165
M21.271,45591769
K58.9,45538539
F10.229,45538007
K02.9,45543287
Z13.1,45605104
S52.001D,45583353
S63.519A,45603206
M25.539,45557856
S62.009A,45607826
M25.639,45586944
H43.13,45591358
Z48.810,45576159
E11.311,45581352
E11.339,45591029
E11.359,45552386
E11.329,45581354
H33.43,45581649
H21.549,45547839
H43.9,35207559
H33.41,45576727
Z98.83,45581096
E11.319,45581353
Z68.42,45609963
H43.11,45596103
Z96.1,45585885
J30.2,45591554
S42.213A,45544682
M25.529,45606201
S42.293A,45568666
M19.141,45596497
S61.213A,45549926
S69.81XA,45603304
J34.89,45581856
J10.1,45601120
L03.116,45567343
N39.41,45563013
T83.498A,45604552
H54.0,35207573
T83.81XA,45575590
T85.09XA,45561087
L94.2,45606016
Z87.74,45552127
Z48.03,45556839
K42.9,45591589
M25.659,45572433
R22.1,45592412
J41.0,45543266
S50.359A,45607464
M51.26,45606242
M99.73,45596842
Z13.5,45547288
K82.4,45538552
B19.21,45547442
S82.899B,45574728
K13.0,45576980
T79.8XXA,45541795
M79.9,45582252
M06.862,45562600
M25.50,45577227
R57.8,45592426
J21.0,45552884
Z95.1,45556881
Z16.29,45581011
J15.211,45533545
J15.6,45543259
K66.1,35208326
Z68.36,45566453
G89.4,45562109
I45.4,45533453
L89.312,45572289
I48.2,45591467
R76.11,45539358
L89.322,45557719
R22.42,45548957
E11.01,45586139
Z91.128,45585878
N48.89,45596874
R33.8,45548960
A09,45605189
T38.3X6A,45555918
T78.04XA,45570680
I69.898,45552822
F06.8,35207121
E11.618,45586140
R41.81,45553736
A04.7,45552153
M84.459A,45591993
F07.0,35207123
I69.922,45567203
G56.02,45538124
M19.042,45557807
R30.0,45592416
M72.0,45543681
M25.649,45553161
Z90.49,45547372
L89.153,45572287
Z93.3,45590775
I50.22,45576878
N25.81,45577516
K57.90,45591598
I44.0,45543176
N17.8,45548652
Z79.1,45590757
T39.395A,45589743
E83.51,45561991
M80.051A,45562846
D68.9,45537928
K85.2,45601195
R34,45602018
K29.00,45572203
S80.01XA,45584143
L02.31,45567338
K29.70,45605928
N25.89,45601719
K30,45591584
K26.9,35208218
E83.39,45547663
C64.2,45586019
E43,45595816
I42.9,45581773
K22.10,45538510
R65.21,45577803
C64.9,45581223
I81,45543228
A41.02,45581112
B37.0,45542559
D73.5,45576414
B37.49,45581161
K94.01,45552962
R60.1,45548975
N28.89,45558146
T81.4XXA,45580391
T50.8X5A,45565682
T40.2X5A,45589752
E11.649,45591031
I50.21,45543182
K65.8,45557666
B96.89,45585977
E86.9,45576479
I51.81,45538387
N17.0,45558139
T37.0X5A,45584856
E88.09,45600678
K63.1,45576998
G56.20,45542896
G56.00,45605567
M24.529,45533801
M77.10,45557990
R94.131,45558493
K65.9,45548168
K26.5,45552920
K25.9,35208209
B96.81,45581196
K26.1,45548151
I34.0,35207728
I82.402,45538453
I82.4Y1,45601089
Z83.2,45542466
F10.99,45605456
I80.221,45538450
Z80.1,45609969
Z00.6,45595478
L03.811,45577025
C77.9,45557014
Z80.41,45566463
Z85.43,45595548
T80.219A,45537006
R19.00,45548951
D72.819,45566711
C78.7,45595688
R63.0,45602036
C56.2,45532915
C56.1,45571525
C53.9,45547507
R97.1,45597213
C77.8,45557013
N95.2,45582430
T80.212A,45580381
C79.31,45557016
R19.09,45548953
D49.7,45600602
Z80.43,45585858
J45.990,45586674
Z12.72,45600305
R06.89,45577778
Z56.2,45605138
Z56.1,45585838
N18.2,35209275
N03.3,45534118
C18.7,45571491
R18.0,45539323
Z46.89,45571357
Z45.1,35225143
Z80.49,45609970
Z80.8,45576187
G89.3,45591201
Z80.51,45537680
T45.1X5S,45609066
K52.1,45562495
Z80.9,45552110
T82.594A,45575576
R14.3,45539321
G62.0,45552542
C18.6,45552246
K56.60,45596334
T45.1X5A,45594673
Q83.0,45587490
N39.3,35209325
N81.2,45596883
N39.46,45567842
D25.9,45542693
N81.3,45567863
N85.4,45543895
N81.81,45553455
N81.10,45601750
D25.1,45547585
N81.9,45563026
N95.0,45567872
N81.12,45548681
N85.8,45606513
N81.89,45543894
K59.09,45552941
G82.20,45581515
M62.3,45596628
M48.02,45548425
E83.30,45547662
M40.00,45543566
G82.50,45542907
M21.80,45567497
M21.859,45606168
R41.841,45534454
K56.41,45601180
G43.019,45557236
R10.11,45568112
E66.09,45591051
N32.81,45539042
N81.6,45543893
R81,45548983
H35.039,45547866
H25.9,35207543
H35.369,45567045
T78.3XXA,45575524
H35.379,45571956
I35.9,35207737
J93.83,45562467
J93.82,45576960
D56.1,35206718
B00.89,45590838
R22.32,45553722
E05.90,45581340
Q87.40,45568097
Q67.5,45553693
M35.9,45553174
N84.1,45567867
M48.9,45591862
J38.3,45562449
R09.82,45606794
F51.01,45600753
F19.20,45542830
T23.209A,45575113
S31.102A,45578132
T23.259A,45584741
L55.0,45533644
S21.209A,45573252
F11.10,45605458
T50.901A,45589878
T50.8X1A,45585049
B15.0,45576257
K72.00,45567324
M1A.9XX0,45543509
R39.89,45534443
R73.01,45597199
Z11.59,45595484
R71.8,45539357
D32.0,45571610
D32.9,45581302
H53.40,45586512
Z48.3,45547319
Z85.841,45576197
Z86.011,45547356
N12,45563004
M47.12,45562732
Z96.652,45542500
M62.522,45601495
R26.9,45553724
M47.816,45562733
R26.81,45548959
G37.3,45605536
K59.2,45596337
Z74.1,45581069
B96.20,45571486
R27.9,45544138
M05.79,45553045
C25.9,45537797
C25.2,45556968
Z85.038,45585860
Z85.048,45542469
C20,45542587
M54.10,45543612
D84.1,45581336
Z85.068,45571393
C19,45561791
R10.12,45597168
K86.1,45586743
Z90.411,45576213
L89.001,45548210
S66.921D,45559689
S51.821A,45588182
S51.811A,45559146
G10,35207314
L89.324,45601244
M86.8X8,45553375
L89.314,45586789
M86.68,45587177
Z93.1,45585884
L92.9,35208698
A53.9,45600422
H93.19,45557528
L70.0,45581958
S02.10XA,45606868
H90.41,45543145
N43.3,45572714
N45.3,45534131
A54.9,45581126
B07.9,45576254
R61,45553742
H40.059,45557414
Z98.49,45556884
H25.89,45552639
H25.12,45596049
H53.9,45557475
H40.053,45543044
H40.9,35207557
H16.429,45600872
M23.221,45577201
S62.91XD,45569258
S62.339D,45550024
S62.306D,45593441
S62.339A,45598271
Z21,45566407
I27.0,45552787
R65.10,45539355
E13.10,45566733
Z86.11,45595552
R71.0,45558481
K29.50,45538519
K31.9,45572204
J84.112,45543275
I82.449,45562406
C92.10,45576368
D46.9,45557083
J84.10,45581864
D47.1,45600598
C94.40,45595724
C92.00,45547554
Z85.6,35225341
C90.00,45605329
